id,category,unit,qualification_id,created_at,updated_at
1,basic,Participate in Workplace Communication,1,2023-04-03 05:21:37,2023-04-03 05:21:37
2,basic,Work in Team Environment,1,2023-04-03 05:21:42,2023-04-03 05:21:42
3,basic,Practice Career Professionalism,1,2023-04-03 05:21:46,2023-04-03 05:21:46
4,basic,Practice Occupational Health and Safety Procedures,1,2023-04-03 05:22:50,2023-04-03 05:22:50
5,common,Develop and Update Industry Knowledge,1,2023-04-03 05:22:56,2023-04-03 05:22:56
6,common,Observe Workplace Hygiene Procedures,1,2023-04-03 05:23:04,2023-04-03 05:23:04
7,common,Perform Computer Operations,1,2023-04-03 05:23:09,2023-04-03 05:23:09
8,common,Perform Workplace and Safety Practices,1,2023-04-03 05:23:14,2023-04-03 05:23:14
9,common,Provide Effective Customer Service,1,2023-04-03 05:23:18,2023-04-03 05:23:18
10,core,Prepare the Dining Room/Restaurant Area for Service,1,2023-04-03 05:23:25,2023-04-03 05:23:25
11,core,Welcome Guests and Take Food and  Beverage Orders,1,2023-04-03 05:23:34,2023-04-03 05:23:34
12,core,Promote Food and Beverage Products,1,2023-04-03 05:23:37,2023-04-03 05:30:27
13,core,Provide Food and Beverage Services To Guests,1,2023-04-03 05:29:53,2023-04-03 05:30:42
14,core,Provide Room Service,1,2023-04-03 05:29:59,2023-04-03 05:30:54
15,core,Receive and Handle Guest Concerns,1,2023-04-03 05:31:07,2023-04-03 05:31:07
